SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1381.95,1394.50,1366.60,1376.30,1377.00,1377.95,446,2659,3665926.00,
500003,AEGIS LOGIS ,A ,Q,290.35,294.00,276.00,282.10,283.55,288.15,1619,23773,6735912.00,
500008,AMAR RAJA BA,A ,Q,853.65,855.55,844.40,845.40,845.40,847.55,558,11892,10101372.00,
500009,A.SARABHAI  ,X ,Q,18.65,19.05,17.00,18.15,18.15,18.65,240,125895,2286100.00,
500010,HDFC        ,A ,Q,2472.00,2486.05,2436.00,2472.80,2472.80,2446.00,10682,314758,777716785.00,
500012,ANDHRA PETRO,X ,Q,62.15,63.70,61.55,62.10,62.10,62.50,652,166030,10390079.00,
500013,ANSAL INFRAS,B ,Q,6.49,6.73,6.49,6.73,6.73,6.41,41,20971,140630.00,
500014,UTIQUE      ,X ,Q,1.62,1.70,1.62,1.70,1.70,1.70,12,5032,8542.00,
500016,ARUNAHTEL   ,XT,Q,4.66,4.66,4.66,4.66,4.66,4.85,2,214,997.00,
500020,BOM DYEING  ,A ,Q,71.15,72.20,70.60,71.45,71.75,71.10,997,169034,12059460.00,
500023,ASIANHOTNR  ,B ,Q,63.00,63.30,62.50,62.50,62.50,61.15,12,620,38829.00,
500027,ATUL LTD.   ,A ,Q,7519.00,7592.35,7473.80,7501.20,7501.20,7508.35,320,625,4702944.00,
500028,ATV PROJECTS,XT,Q,4.15,4.39,4.07,4.14,4.24,4.20,26,8408,35397.00,
500031,BAJAJ ELECT.,A ,Q,992.40,1020.85,972.05,1007.60,1007.60,981.10,2492,17990,17956871.00,
500032,BAJAJHIND   ,A ,Q,6.25,6.35,6.21,6.23,6.23,6.24,363,389671,2443088.00,
500033,FORCE MOTR  ,A ,Q,1161.85,1176.95,1155.45,1163.25,1162.00,1161.85,272,1232,1436867.00,
500034,BAJFINANCE  ,A ,Q,5045.00,5058.75,4953.95,4992.25,4992.25,4963.70,11647,103996,520881556.00,
500038,BALRAM.CHINI,A ,Q,208.35,213.45,207.25,210.80,210.80,207.30,1584,112230,23644354.00,
500039,BANCO PROD. ,B ,Q,143.50,143.50,139.50,141.45,141.45,143.60,1704,26779,3787302.00,
500040,CENTURY TEXT,A ,Q,447.00,449.30,434.60,439.35,440.85,445.25,2071,61973,27313371.00,
500041,BANNARI AMAN,A ,Q,1638.50,1638.50,1625.00,1633.15,1633.15,1643.05,4,8,13062.00,
500042,BASF INDIA  ,A ,Q,2045.15,2132.45,2024.90,2109.25,2109.25,2035.15,753,3103,6420199.00,
500043,BATA INDIA  ,A ,Q,1400.00,1415.80,1386.90,1390.35,1390.35,1396.80,3299,46147,64593255.00,
500048,BEML LTD    ,A ,Q,1240.00,1279.20,1216.90,1265.30,1265.30,1237.40,2600,41711,52193360.00,
500049,BHARAT ELECT,A ,Q,132.00,134.95,128.75,130.70,130.70,131.40,7909,1037401,137372655.00,
500052,BHANSALI ENG,A ,Q,162.40,164.45,158.25,161.90,161.90,160.35,1286,84232,13646705.00,
500055,TATASTLBSL  ,B ,Q,56.50,56.85,55.10,55.55,55.55,55.70,2332,1158484,64824322.00,
500058,BIHAR SPONGE,XT,Q,2.25,2.25,2.25,2.25,2.25,2.21,7,12050,27112.00,
500060,BIRLACABLE  ,B ,Q,60.85,61.60,60.45,61.05,61.35,60.75,162,5937,362024.00,
500067,BLUE STAR   ,A ,Q,927.00,1025.00,908.55,912.20,911.60,924.75,944,10727,9906573.00,
500068,DISA INDIA  ,X ,Q,4600.00,4878.00,4600.00,4609.35,4608.00,4603.40,40,115,538946.00,
500069,BNK CAPITAL ,X ,Q,182.90,183.45,181.10,182.65,182.55,183.10,159,85827,15647742.00,
500074,BPL LTD.    ,B ,Q,22.50,24.45,22.50,23.10,23.10,23.40,71,3952,92987.00,
500078,OAL         ,B ,Q,620.00,649.95,609.00,641.70,641.70,613.75,721,4008,2550107.00,
500083,CENTURY EXT ,B ,Q,4.44,4.50,4.35,4.41,4.41,4.51,36,8597,38216.00,
500084,CESC LTD.   ,A ,Q,600.50,605.00,596.70,599.00,601.10,600.50,685,13230,7942697.00,
500085,CHAMBAL FERT,A ,Q,221.90,225.30,221.15,221.75,221.75,222.90,840,34147,7611052.00,
500086,EXIDE IND.  ,A ,Q,182.70,184.65,181.60,183.50,183.50,182.70,3764,181748,33299646.00,
500087,CIPLA LTD.  ,A ,Q,825.00,839.85,823.00,836.20,836.20,819.35,5541,212680,177211467.00,
500089,DIC INDIA   ,B ,Q,395.00,395.00,388.00,395.00,395.00,390.65,19,58,22748.00,
500092,CRISIL LTD  ,A ,Q,1793.40,1812.65,1742.35,1752.95,1750.05,1778.30,894,3615,6374353.00,
500093,CGPOWER     ,B ,Q,66.75,69.75,65.80,69.75,69.75,66.45,1535,394452,27246751.00,
500096,DABUR (I)   ,A ,Q,537.00,548.15,534.50,546.90,546.50,536.95,1442,45553,24758923.00,
500097,DALMIASUG   ,A ,Q,181.50,184.00,176.00,177.05,176.00,180.70,740,14297,2571507.00,
500101,ARVIND Ltd  ,A ,Q,66.25,68.15,65.50,66.80,66.80,66.25,1265,323005,21658342.00,
500102,BALARPUR IND,Z ,Q,1.14,1.15,1.11,1.12,1.13,1.14,120,271128,306643.00,
500103,BHEL        ,A ,Q,49.10,50.50,48.35,49.35,49.35,48.95,4160,2042165,101328016.00,
500104,HIND.PETRO  ,A ,Q,235.00,237.10,233.25,235.25,235.25,235.05,647,51920,12196724.00,
500106,IFCI LTD    ,A ,Q,12.00,12.12,11.54,11.82,11.82,11.99,12261,457131,5413919.00,
500108,MAHA.TELE   ,B ,Q,18.30,18.55,17.60,17.70,17.70,18.50,1573,508859,9147066.00,
500109,MRPL        ,A ,Q,39.00,39.70,38.75,39.25,39.45,39.10,647,159942,6282818.00,
500110,CHENNAI PET.,A ,Q,101.00,101.00,97.50,98.25,98.25,98.65,478,38835,3831610.00,
500111,REL.CAP.    ,B ,Q,10.90,11.29,10.77,11.10,11.10,10.76,1282,1199447,13423246.00,
500112,STATE BANK  ,A ,Q,355.00,357.00,349.30,350.55,350.55,353.65,31224,2255552,796383882.00,
500113,STEEL AUTH. ,A ,Q,91.70,93.40,89.20,91.05,91.05,89.65,15962,6516235,596008598.00,
500114,TITAN       ,A ,Q,1535.25,1546.95,1509.10,1525.85,1525.85,1534.75,2850,71410,109273717.00,
500116,IDBI BANK L ,A ,Q,38.30,38.70,37.60,38.00,38.00,38.15,3436,1752900,66670536.00,
500117,DCW LTD.    ,B ,Q,26.70,28.60,26.70,28.10,28.10,27.05,625,239478,6685084.00,
500119,DHAMPUR SUGA,A ,Q,174.10,184.70,174.10,175.55,175.00,176.75,677,26970,4765632.00,
500120,DIAMINES&CHM,X ,Q,283.70,290.00,271.20,288.20,287.50,273.85,382,12357,3509760.00,
500123,ELANTAS     ,A ,Q,3450.00,3478.70,3400.80,3471.20,3465.00,3413.20,96,909,3134825.00,
500124,DR.REDDY'S  ,A ,Q,4579.95,4639.20,4545.75,4617.55,4617.55,4556.05,2828,23993,110693728.00,
500125,E.I.D.PAR   ,A ,Q,310.05,320.00,310.00,317.90,316.50,314.80,478,12081,3835133.00,
500126,PGHL        ,A ,Q,6180.00,6248.00,6170.00,6238.10,6220.80,6181.70,111,276,1716196.00,
500128,ELEC.CASTING,B ,Q,25.70,26.70,25.65,26.05,26.05,25.50,258,72074,1885645.00,
500133,ESAB INDIA  ,A ,Q,1794.00,1820.00,1778.70,1794.30,1820.00,1792.10,156,686,1232122.00,
500135,EPL         ,A ,Q,228.80,234.00,225.00,227.30,226.15,225.45,461,13749,3147685.00,
500136,ESTER INDUS.,B ,Q,116.00,117.40,113.00,114.35,114.65,116.20,428,21026,2428156.00,
500144,FINOL. CABLE,A ,Q,385.00,385.00,372.00,374.40,377.45,379.20,556,8214,3106264.00,
500147,COCKERILL   ,X ,Q,839.00,875.00,811.00,855.00,855.00,811.05,150,2921,2473204.00,
500148,UFLEX LTD   ,A ,Q,377.00,385.00,377.00,378.65,380.05,380.65,605,10611,4043837.00,
500150,FOSECO INDIA,B ,Q,1181.35,1189.35,1174.05,1189.35,1189.35,1180.75,25,80,94348.00,
500151,GOLDEN TOB  ,B ,Q,40.60,43.50,40.40,41.90,40.65,40.60,49,702,28967.00,
500153,GANESH BENZO,X ,Q,70.75,72.45,68.05,70.20,70.20,68.35,499,84370,5982742.00,
500159,METROGLOBL  ,X ,Q,53.45,55.60,53.45,55.60,55.60,55.25,14,157,8516.00,
500160,GTL LTD.    ,B ,Q,5.97,5.97,5.65,5.65,5.75,5.74,100,50583,294386.00,
500163,GODFREY PH  ,A ,Q,910.65,917.20,900.80,903.15,903.15,914.50,301,2163,1963610.00,
500164,GODREJ IND  ,A ,Q,545.95,545.95,531.20,534.50,532.50,539.85,399,4235,2262303.00,
500165,KANSAI NERO ,A ,Q,585.00,595.00,584.50,591.15,595.00,585.55,245,3520,2069140.00,
500166,GOODRICKE   ,X ,Q,210.05,216.05,210.05,215.05,215.05,210.20,96,5742,1225307.00,
500168,GOODYEAR (I),A ,Q,908.00,915.15,892.45,900.55,900.50,911.55,267,1375,1244968.00,
500170,GTN INDUS   ,X ,Q,10.42,11.37,10.42,11.18,11.18,10.96,9,130,1433.00,
500171,GHCL LTD    ,A ,Q,238.20,238.20,231.30,232.25,231.80,237.30,231,6379,1495677.00,
500173,GFLLIMITED  ,T ,Q,70.75,70.75,70.75,70.75,70.75,74.45,73,4508,318941.00,
500174,GUJ.LEASE   ,B ,Q,2.29,2.29,2.29,2.29,2.29,2.39,1,100,229.00,
500179,HCL INFOSYS ,B ,Q,9.39,9.56,9.19,9.24,9.37,9.31,245,75137,702175.00,
500180,HDFC BANK   ,A ,Q,1455.00,1462.75,1433.50,1440.95,1440.95,1449.00,10658,295274,426931076.00,
500182,HEROMOTOCO  ,A ,Q,2911.00,2927.95,2867.40,2888.95,2890.00,2876.40,2046,29415,84985206.00,
500183,HFCL        ,A ,Q,25.60,26.35,25.45,25.65,25.65,25.65,1176,456924,11782891.00,
500184,HSCL        ,A ,Q,42.90,45.45,42.10,44.60,44.60,42.65,3925,866881,37958069.00,
500185,HIND.CONSTN.,A ,Q,8.50,8.56,8.18,8.20,8.24,8.44,563,237227,1963935.00,
500186,HIND.OIL EXP,A ,Q,100.00,100.00,97.15,97.25,97.20,99.25,748,63190,6258592.00,
500187,HSIL        ,B ,Q,152.90,155.95,152.00,154.35,155.80,152.90,381,9462,1464776.00,
500188,HINDUS.ZI   ,A ,Q,297.00,308.30,290.20,301.70,301.70,297.55,5094,184187,54723044.00,
500189,NXTDIGITAL  ,B ,Q,470.05,470.55,460.00,461.85,460.00,483.75,71,639,298506.00,
500191,HMT LTD.    ,Z ,Q,30.25,32.00,30.15,30.35,30.90,31.65,69,7444,232671.00,
500192,PRAG BOSIMI ,XT,Q,1.60,1.68,1.52,1.68,1.68,1.60,7,2051,3200.00,
500193,HLVLTD      ,B ,Q,5.99,6.10,5.84,6.00,6.00,5.96,78,18896,112103.00,
500199,I.G.PETRO   ,B ,Q,413.05,447.95,413.05,440.40,435.30,420.15,501,6405,2788648.00,
500201,IND.GLYCOLS ,A ,Q,440.00,444.00,417.35,427.80,428.00,434.25,1100,25507,10913657.00,
500202,IND.LEAS.DEV,X ,Q,11.50,11.50,11.50,11.50,11.50,11.30,1,1,11.00,
500207,INDO RAMA   ,B ,Q,38.00,39.40,37.60,38.05,38.00,37.50,38,3015,115420.00,
500209,INFOSYS LTD ,A ,Q,1421.05,1425.90,1406.25,1411.15,1411.15,1410.15,13450,290047,410611506.00,
500210,INGERSOLL   ,A ,Q,710.00,762.40,707.00,716.15,716.15,693.80,1563,11841,8767447.00,
500211,INSILCO LTD.,X ,Q,6.45,7.00,6.45,6.94,6.94,6.54,111,7970,53703.00,
500212,INTEG.FIN.SE,XT,Q,28.00,28.00,27.40,27.40,27.40,28.70,3,150,4113.00,
500213,INTER.TRAVEL,X ,Q,59.00,62.60,59.00,59.30,59.30,59.10,47,3059,187048.00,
500214,ION EXCHANGE,A ,Q,1269.90,1307.70,1260.00,1275.25,1275.25,1265.30,885,25268,32425375.00,
500215,AGRO TECH FO,A ,Q,830.40,850.90,815.60,844.90,850.90,825.50,54,628,525079.00,
500219,JAIN IRRIG  ,A ,Q,19.20,19.60,18.90,19.10,19.10,19.15,541,210545,4063382.00,
500220,JASCH INDUST,X ,Q,59.00,61.00,57.65,58.70,58.70,59.30,22,1454,85234.00,
