SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500223,JCT LTD     ,X ,Q,1.00,1.00,0.94,0.94,0.94,0.98,375,1868105,1779903.00,
500227,JINDAL POLYF,A ,Q,706.05,775.60,706.05,775.60,775.60,738.70,642,10817,8252149.00,
500228,JSWSL       ,A ,Q,523.80,541.00,520.50,537.15,537.15,517.55,15689,949579,505567549.00,
500231,UMANG DAIR  ,B ,Q,58.70,58.70,57.00,57.15,57.10,57.15,8,328,19130.00,
500233,KAJARIA CER.,A ,Q,983.00,983.00,953.10,962.55,962.30,947.05,559,7096,6846675.00,
500234,KAKATIYA CEM,B ,Q,172.50,174.90,170.95,172.15,172.50,170.50,262,1651,284748.00,
500235,KALYANI STEL,A ,Q,344.90,349.60,337.80,341.10,340.00,339.75,508,12376,4259363.00,
500236,KANELIND    ,XT,Q,1.14,1.14,1.14,1.14,1.14,1.16,2,110,125.00,
500238,WHIRLPOOL   ,A ,Q,2205.00,2206.05,2180.00,2187.65,2184.60,2189.50,352,2248,4936470.00,
500239,KG DENIM    ,X ,Q,28.40,29.90,27.65,29.35,29.35,27.85,69,9778,283593.00,
500240,KINETIC ENG.,XT,Q,40.60,42.85,40.60,42.25,42.85,42.30,21,5504,231907.00,
500241,KIRL.BROS.  ,B ,Q,252.60,271.25,252.60,256.80,258.75,251.80,646,13507,3506083.00,
500243,KIRL INDUS  ,B ,Q,1290.95,1369.80,1290.95,1351.75,1359.00,1262.75,55,383,508120.00,
500245,KIRL.FERROUS,B ,Q,191.00,200.00,184.80,197.05,199.45,189.20,2082,95988,18491896.00,
500246,ENVAIN ELECT,XT,Q,35.45,35.45,32.75,32.80,32.80,34.05,4,210,7152.00,
500247,KOTAK MAH.BK,A ,Q,1772.10,1781.00,1729.00,1768.40,1768.40,1759.50,6133,90597,159527840.00,
500249,KSB         ,A ,Q,887.25,897.00,880.00,895.60,896.00,878.90,150,1041,926072.00,
500250,L.G.BALKRISH,A ,Q,322.60,322.95,309.10,310.15,312.40,316.50,257,5023,1577219.00,
500251,TRENT LTD.  ,A ,Q,730.00,730.40,700.05,703.55,703.55,728.70,1629,22354,15929369.00,
500252,LAXMIMACH   ,A ,Q,6670.00,6780.00,6595.25,6677.85,6739.25,6673.45,222,404,2706372.00,
500253,LIC HOUS.FIN,A ,Q,420.75,425.40,417.80,419.90,419.90,418.35,1270,74785,31561100.00,
500257,LUPIN LTD.  ,A ,Q,1026.00,1046.70,1026.00,1042.20,1042.20,1029.05,2917,91308,94925647.00,
500259,LYKA LABS   ,T ,Q,28.75,30.00,28.25,28.55,28.55,28.60,49,8463,245225.00,
500260,RAMCOCEM    ,A ,Q,1008.00,1047.50,1005.00,1041.50,1039.25,1008.95,1174,20314,21021039.00,
500264,MAFATLAL IND,X ,Q,89.35,92.15,89.35,90.80,90.80,90.05,23,1316,118661.00,
500265,MAH.SEAMLESS,A ,Q,278.10,281.15,278.00,279.45,279.00,276.95,91,1863,520493.00,
500266,MAH.SCOOTER ,A ,Q,3381.00,3565.65,3381.00,3547.30,3561.00,3464.70,176,517,1823987.00,
500267,MAJESTIC AUT,X ,Q,104.00,104.35,102.05,102.70,102.05,103.30,22,1091,111907.00,
500268,MANALI PETRO,B ,Q,72.95,78.85,70.45,72.35,72.35,71.70,7186,1002113,76048546.00,
500271,MFSL        ,A ,Q,871.15,896.55,863.05,890.50,890.50,868.30,1257,34774,30822630.00,
500279,MIRC ELECT  ,T ,Q,14.70,14.70,14.11,14.18,14.15,14.30,65,28404,407117.00,
500280,CENTURY ENKA,B ,Q,251.70,256.35,244.30,248.55,249.85,251.95,134,4815,1216541.00,
500284,LORDS CHLORO,X ,Q,31.80,31.80,29.95,31.80,31.80,30.30,3,103,3090.00,
500285,SPICEJET LTD,A ,Q,68.65,69.80,68.10,69.40,69.35,68.80,2810,344517,23859663.00,
500288,MOREPEN LAB.,A ,Q,33.20,36.80,32.40,35.25,35.25,32.60,4960,1730464,61362937.00,
500290,MRF LTD.    ,A ,Q,82700.00,82700.00,81238.65,82230.65,82150.00,81536.45,806,942,77227263.00,
500292,HEIDEL CEM  ,A ,Q,238.00,239.25,235.60,238.15,237.80,234.65,263,6516,1551137.00,
500294,NCC         ,A ,Q,78.20,80.40,77.40,78.45,78.65,78.35,3225,394175,31073657.00,
500295,VEDL        ,A ,Q,232.00,233.90,231.50,233.50,233.50,231.70,2178,343811,80027154.00,
500296,NAHAR SPG.  ,B ,Q,102.05,108.00,102.00,103.50,103.85,103.75,258,5909,614212.00,
500298,NAT.PEROXIDE,A ,Q,2330.00,2352.50,2260.00,2284.75,2284.75,2323.35,1612,14257,33030225.00,
500300,GRASIM IND. ,A ,Q,1434.50,1449.90,1426.10,1432.05,1428.70,1446.50,1542,35408,50817881.00,
500302,PEL         ,A ,Q,1745.00,1782.00,1739.95,1750.00,1753.90,1744.50,2529,45130,79542980.00,
500304,NIIT LTD.   ,A ,Q,189.75,191.70,179.50,182.00,182.00,188.35,1792,78268,14459088.00,
500306,JAYKAY      ,XT,Q,40.05,40.05,40.05,40.05,40.05,39.30,44,16730,670036.00,
500307,NIRLON      ,A ,Q,270.15,270.15,270.00,270.00,270.00,267.95,8,1733,467919.00,
500312,ONGC CORPN  ,A ,Q,102.10,104.40,101.35,103.85,103.85,103.40,3191,451504,46635817.00,
500314,ORIENT HOTEL,B ,Q,22.65,22.90,22.10,22.50,22.55,22.20,48,2851,64042.00,
500317,OSWAL AGRO. ,B ,Q,9.99,10.46,9.99,10.04,10.19,9.93,83,21772,222097.00,
500319,INDIAN SUCRO,X ,Q,22.70,22.70,21.00,22.45,22.45,22.25,6,213,4501.00,
500325,RELIANCE    ,A ,Q,2001.25,2005.00,1970.00,1983.65,1983.65,1992.80,22602,337567,669851394.00,
500327,PILITA      ,B ,Q,18.75,18.75,17.00,17.20,17.00,17.80,98,34278,608450.00,
500330,RAYMOND     ,A ,Q,352.60,354.80,346.55,348.45,348.45,350.95,1302,37788,13257204.00,
500331,PIDILITE    ,A ,Q,1802.10,1888.00,1791.00,1873.50,1873.50,1798.20,2829,35435,65750032.00,
500333,PIX TRANS   ,X ,Q,341.00,347.90,335.00,338.90,338.90,343.35,133,5635,1920767.00,
500335,BIRLA CORPN.,A ,Q,971.00,985.00,960.95,972.35,972.35,963.35,450,5939,5767181.00,
500336,SURYA ROSHNI,A ,Q,352.80,364.00,348.30,357.15,354.00,352.55,1575,31953,11479671.00,
500337,PRIME SECUR.,T ,Q,41.05,43.55,41.05,43.45,43.55,41.50,21,4198,174852.00,
500338,PRSMJOHNSN  ,A ,Q,132.50,132.50,124.00,124.55,124.55,131.70,681,51813,6602939.00,
500339,RAIN        ,A ,Q,151.40,152.35,146.35,150.90,150.90,147.10,2242,439923,66000551.00,
500343,AMJLAND     ,B ,Q,23.45,23.85,22.40,23.40,23.40,23.25,113,7157,168334.00,
500346,PUN.COMMUNI.,B ,Q,20.15,22.90,20.15,22.40,22.40,21.75,14,677,14853.00,
500350,RSWM  LTD   ,B ,Q,193.05,195.45,190.10,193.85,195.45,186.15,116,1441,278041.00,
500354,RAJSH.SUGAR ,T ,Q,18.55,18.55,17.60,17.60,18.10,18.10,18,1048,18625.00,
500355,RALLIS INDIA,A ,Q,257.05,261.45,255.30,257.75,258.60,256.65,283,9051,2339607.00,
500356,RAMANEWS    ,B ,Q,16.25,16.25,15.90,15.95,16.05,16.00,32,1962,31375.00,
500357,RAMA PAPER  ,XT,Q,14.75,14.75,14.46,14.46,14.46,14.75,3,896,12964.00,
500358,RAMA PETRO  ,XT,Q,3.46,3.46,3.46,3.46,3.46,3.53,4,345,1193.00,
500365,WELSPLSOL   ,X ,Q,14.32,14.91,14.25,14.46,14.46,14.29,256,117663,1717587.00,
500366,ROLTA (I)   ,B ,Q,3.67,3.67,3.67,3.67,3.67,3.50,12,2542,9329.00,
500367,RUBFILA INT.,X ,Q,59.45,60.50,59.05,59.10,59.05,59.30,142,28161,1681051.00,
500368,RUCHI SOYA  ,B ,Q,740.00,740.00,702.60,711.20,710.80,707.05,904,7900,5726492.00,
500370,SALORA INT. ,XT,Q,39.00,40.00,37.55,38.25,38.25,39.15,19,5010,190816.00,
500378,JINDAL SAW  ,A ,Q,75.50,75.95,73.65,73.95,73.95,74.55,475,46799,3490667.00,
500380,JK LAKSHMI  ,A ,Q,429.00,429.00,412.30,419.45,422.75,424.95,451,10966,4605810.00,
500387,SHREE CEMENT,A ,Q,30102.05,30467.90,30016.55,30132.95,30150.00,30372.35,1184,2051,62052699.00,
500390,REL INFRA   ,A ,Q,39.85,42.95,38.25,38.90,38.90,39.05,6458,3454793,139299519.00,
500400,TATA POWER  ,A ,Q,103.60,107.25,102.35,104.65,104.65,103.35,9318,3336166,350372053.00,
500402,SPMLINFRA   ,B ,Q,9.96,10.05,9.89,10.01,10.01,9.62,31,5327,53459.00,
500403,SUNDARAM FAS,A ,Q,762.95,773.60,735.00,741.25,737.30,758.25,613,5313,3996012.00,
500404,SUNFLAG IRON,A ,Q,66.05,67.85,63.95,64.35,64.90,65.45,426,49241,3230878.00,
500405,SUPREME PET ,A ,Q,427.30,463.00,418.70,460.00,460.00,424.50,2587,33150,14922105.00,
500407,SWARAJ ENGIN,A ,Q,1319.10,1333.20,1310.00,1332.00,1332.00,1314.60,64,516,684669.00,
500408,TATA ELXSI  ,A ,Q,2870.00,2904.70,2848.70,2875.20,2875.20,2855.15,2126,25706,74013500.00,
500410,ACC LTD     ,A ,Q,1898.05,1921.00,1892.10,1907.95,1909.80,1894.60,1416,24935,47572963.00,
500411,THERMAX     ,A ,Q,1285.60,1312.35,1262.25,1275.45,1269.00,1291.85,474,2109,2726962.00,
500412,THIRUMALAI  ,A ,Q,87.85,91.00,87.00,88.15,88.15,87.60,1463,103443,9165347.00,
500413,THOMAS COOK ,A ,Q,47.50,48.10,45.80,46.20,46.35,47.55,750,74095,3449715.00,
500414,TIMEX GROUP ,X ,Q,28.15,28.75,28.15,28.25,28.25,28.50,40,4279,121240.00,
500418,TOKYO PLAST ,B ,Q,70.05,70.95,70.05,70.05,70.05,70.05,5,490,34379.00,
500420,TORRENT PHAR,A ,Q,2518.00,2577.90,2518.00,2562.15,2559.60,2520.30,695,7362,18864936.00,
500422,TRANSCHEM   ,X ,Q,15.30,17.00,15.30,16.70,16.10,15.50,37,1986,33001.00,
500425,AMBUJA CEME ,A ,Q,306.40,309.45,303.40,305.45,305.50,305.95,1852,95015,29129772.00,
500426,UTLINDS     ,XT,Q,14.40,14.40,13.65,14.38,13.70,14.32,7,891,12524.00,
500429,UNIPHOS ENT.,B ,Q,84.10,86.10,83.50,85.65,86.00,86.55,138,10871,929754.00,
500439,VARD HOLDNG ,B ,Q,1753.05,1773.70,1753.05,1759.70,1765.00,1752.30,17,25,44030.00,
500440,HINDALCO    ,A ,Q,353.00,358.30,348.50,350.50,350.50,350.40,3097,321065,113405380.00,
500444,WEST COAS PA,A ,Q,238.45,241.60,232.40,233.60,233.20,236.65,444,11026,2601964.00,
500449,HIND.ORG.CHM,T ,Q,37.80,40.25,37.80,38.65,39.00,39.45,329,84645,3302305.00,
500456,PAS.ACRYLON ,X ,Q,15.42,15.42,14.75,14.90,14.90,14.89,100,34094,512248.00,
500458,KORE        ,XT,Q,1.93,2.02,1.84,2.02,2.02,1.93,9,2161,4076.00,
500459,PROCTER &GAM,A ,Q,12527.55,12649.95,12408.55,12621.25,12649.95,12528.50,77,107,1343588.00,
500460,MUKAND LTD. ,B ,Q,87.00,87.90,82.00,85.15,84.60,84.10,1799,130352,11088724.00,
500463,AGCNET      ,B ,Q,1434.95,1463.75,1428.00,1463.75,1463.75,1394.05,142,2525,3654545.00,
500464,UCAL FUEL   ,B ,Q,141.65,144.05,140.35,140.90,142.55,142.20,533,9994,1422678.00,
500467,HARR.MALAYAL,B ,Q,141.00,157.70,139.05,154.90,153.50,140.30,1851,70822,10612182.00,
500469,FEDERAL BANK,A ,Q,76.60,77.90,75.75,76.85,76.85,76.45,3083,926180,71422611.00,
500470,TATA STEEL  ,A ,Q,875.00,882.30,858.15,862.85,862.85,867.40,12422,913689,794154985.00,
500472,SKF INDIA   ,A ,Q,2159.00,2184.70,2159.00,2172.65,2172.65,2180.75,311,1121,2436370.00,
500477,ASHOK LEYL. ,A ,Q,113.80,114.90,112.00,112.50,112.50,113.40,8498,1059297,119999160.00,
500480,CUMMINS (I) ,A ,Q,873.05,894.70,873.05,878.40,879.10,882.50,1087,35344,31189164.00,
500483,TATA COMM   ,A ,Q,1120.05,1136.00,1103.05,1113.40,1113.40,1113.35,1745,22648,25344767.00,
500488,ABBOTT (I)  ,A ,Q,15160.00,15260.95,15145.05,15192.05,15192.05,15153.20,126,316,4803566.00,
500490,BAJ HOLD INV,A ,Q,3251.00,3345.00,3250.00,3324.20,3316.00,3290.45,408,1227,4031551.00,
500493,BHARAT FORGE,A ,Q,612.90,624.80,604.95,617.25,623.00,608.35,1291,56180,34442933.00,
500495,ESCORTS LTD.,A ,Q,1236.00,1247.70,1218.85,1222.20,1222.20,1235.25,2149,50209,61711169.00,
500500,HIND.MOTORS ,T ,Q,6.65,7.00,6.55,6.59,6.55,6.80,71,13630,91813.00,
500510,LARSEN & TOU,A ,Q,1403.55,1416.55,1394.00,1400.85,1400.85,1403.55,2752,53879,75608515.00,
500520,MAH & MAH   ,A ,Q,779.90,791.10,776.00,781.20,781.20,774.35,2694,87791,68713388.00,
500530,BOSCH LTD   ,A ,Q,14040.15,14320.00,13927.90,14137.45,14117.95,14031.25,409,869,12286933.00,
500540,PREMIER LTD ,T ,Q,2.60,2.60,2.43,2.54,2.55,2.51,19,12451,31753.00,
500547,BHARAT PET. ,A ,Q,430.00,433.65,424.70,428.20,428.20,427.95,3425,181385,77952364.00,
500550,SIEMENS LTD.,A ,Q,1820.00,1832.80,1776.00,1783.80,1783.80,1823.25,1020,12996,23418719.00,
500570,TATA MOTORS ,A ,Q,305.60,313.90,304.75,307.65,307.65,305.05,42473,5334339,1649288042.00,
500575,VOLTAS LTD  ,A ,Q,990.00,990.00,964.15,974.45,978.30,976.45,1737,55232,53865928.00,
500620,GREAT EASTE ,A ,Q,302.05,305.15,298.50,299.55,301.95,302.05,1176,20522,6178291.00,
500645,DEEPAK FERT.,A ,Q,221.50,229.50,221.50,225.60,225.85,225.35,962,54530,12365236.00,
500650,EXCEL INDUST,A ,Q,844.80,849.40,838.05,844.25,844.70,841.05,388,2754,2323867.00,
500655,GARWARE POLY,X ,Q,719.60,750.00,712.00,732.15,732.15,713.65,446,20488,15085654.00,
500660,GLAXOSMITH  ,A ,Q,1413.55,1435.20,1409.15,1424.10,1435.20,1404.30,143,795,1130033.00,
500670,GUJ.NARMADA ,A ,Q,308.05,317.75,305.35,313.30,314.00,306.60,1090,56897,17808194.00,
500672,NOVARTIS    ,A ,Q,561.00,578.60,561.00,568.35,568.35,560.10,134,2602,1477708.00,
500674,SANOFI      ,A ,Q,8055.00,8055.00,7944.00,7972.10,7990.00,8000.35,561,7199,57401935.00,
