SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1394.00,1398.55,1368.45,1377.95,1383.80,1397.25,971,6119,8481968.00,
500003,AEGIS LOGIS ,A ,Q,300.10,300.10,286.70,288.15,288.15,301.25,678,15421,4499916.00,
500008,AMAR RAJA BA,A ,Q,870.00,870.00,837.85,847.55,847.55,859.95,1148,23933,20343799.00,
500009,A.SARABHAI  ,X ,Q,18.25,18.90,18.00,18.65,18.65,17.80,258,81189,1499213.00,
500010,HDFC        ,A ,Q,2587.20,2587.20,2413.35,2446.00,2446.00,2530.95,7880,164674,402031116.00,
500012,ANDHRA PETRO,X ,Q,64.50,66.00,61.60,62.50,62.50,64.05,798,136455,8551518.00,
500013,ANSAL INFRAS,B ,Q,6.41,6.41,6.34,6.41,6.41,6.11,18,12289,78606.00,
500014,UTIQUE      ,X ,Q,1.74,1.82,1.70,1.70,1.70,1.74,10,3966,6747.00,
500020,BOM DYEING  ,A ,Q,72.00,73.15,70.10,71.10,71.10,73.40,1796,277032,19745297.00,
500023,ASIANHOTNR  ,B ,Q,61.00,63.65,61.00,61.15,61.15,60.70,7,352,21500.00,
500027,ATUL LTD.   ,A ,Q,7404.05,7532.95,7331.80,7508.35,7480.00,7404.05,505,1020,7587072.00,
500028,ATV PROJECTS,XT,Q,4.40,4.40,4.06,4.20,4.24,4.24,27,9797,41387.00,
500029,AUTOLITE(I) ,Z ,Q,30.65,30.65,29.15,29.15,29.15,30.65,10,5480,159757.00,
500031,BAJAJ ELECT.,A ,Q,995.00,995.00,956.90,981.10,993.20,990.45,675,6547,6345689.00,
500032,BAJAJHIND   ,A ,Q,6.42,6.49,6.14,6.24,6.24,6.43,1182,755359,4726585.00,
500033,FORCE MOTR  ,A ,Q,1315.00,1315.00,1123.80,1161.85,1161.85,1198.80,641,3027,3528894.00,
500034,BAJFINANCE  ,A ,Q,5270.00,5270.00,4925.00,4963.70,4963.70,5270.00,15344,136378,682074411.00,
500038,BALRAM.CHINI,A ,Q,216.50,216.50,197.55,207.30,207.30,214.00,2373,227745,46707935.00,
500039,BANCO PROD. ,B ,Q,147.50,147.50,140.95,143.60,143.90,147.75,1540,44670,6415040.00,
500040,CENTURY TEXT,A ,Q,459.50,460.00,441.30,445.25,447.90,458.65,1264,58966,26283111.00,
500041,BANNARI AMAN,A ,Q,1600.00,1655.00,1600.00,1643.05,1643.25,1647.00,17,33,53794.00,
500042,BASF INDIA  ,A ,Q,2119.95,2119.95,2019.90,2035.15,2035.15,2133.55,558,2814,5780320.00,
500043,BATA INDIA  ,A ,Q,1425.10,1430.00,1381.55,1396.80,1395.15,1424.40,2333,26720,37420793.00,
500048,BEML LTD    ,A ,Q,1305.00,1305.00,1205.25,1237.40,1232.60,1319.35,2342,40169,49915268.00,
500049,BHARAT ELECT,A ,Q,127.35,131.90,125.00,131.40,131.40,126.10,5657,1068307,137408127.00,
500052,BHANSALI ENG,A ,Q,153.00,161.90,151.00,160.35,160.35,152.75,2109,137014,21499623.00,
500055,TATASTLBSL  ,B ,Q,55.95,56.60,53.60,55.70,55.70,55.40,4425,1504740,82945042.00,
500058,BIHAR SPONGE,XT,Q,2.21,2.21,2.21,2.21,2.21,2.17,9,10396,22975.00,
500060,BIRLACABLE  ,B ,Q,62.40,62.40,60.00,60.75,60.85,62.95,150,12003,730395.00,
500067,BLUE STAR   ,A ,Q,929.00,945.00,912.00,924.75,920.60,922.15,858,8677,8063866.00,
500068,DISA INDIA  ,X ,Q,4699.95,4699.95,4560.30,4603.40,4600.00,4715.45,43,235,1081481.00,
500069,BNK CAPITAL ,X ,Q,185.10,188.95,180.00,183.10,183.10,178.70,275,146309,26539786.00,
500074,BPL LTD.    ,B ,Q,22.85,23.80,22.85,23.40,23.50,23.85,66,6214,144322.00,
500078,OAL         ,B ,Q,592.00,620.40,582.45,613.75,604.70,587.00,265,2396,1432026.00,
500083,CENTURY EXT ,B ,Q,4.70,4.70,4.37,4.51,4.51,4.54,108,64698,289178.00,
500084,CESC LTD.   ,A ,Q,611.00,611.00,590.20,600.50,600.00,607.45,929,18124,10910770.00,
500085,CHAMBAL FERT,A ,Q,229.00,229.00,221.50,222.90,223.25,230.20,669,33330,7501167.00,
500086,EXIDE IND.  ,A ,Q,185.15,187.10,181.05,182.70,182.70,185.90,7214,324431,59539528.00,
500087,CIPLA LTD.  ,A ,Q,822.00,826.90,806.20,819.35,819.05,818.30,2382,79237,64647520.00,
