SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532806,AI CHAMPDNY ,XT,Q,10.31,10.31,9.78,9.78,9.78,10.28,3,91,895.00,
532807,CINELINE    ,B ,Q,32.00,34.90,31.65,32.60,33.10,32.05,166,22510,745302.00,
532808,PGIL        ,B ,Q,182.50,187.70,181.60,185.50,185.50,183.15,118,4822,897676.00,
532809,FSL         ,A ,Q,118.25,125.50,116.70,122.30,122.30,118.25,3778,506445,61585407.00,
532810,POWER FINAN ,A ,Q,114.00,117.15,114.00,116.55,116.55,114.45,2718,447161,51894170.00,
532811,AHLUWALIA CO,A ,Q,297.00,299.10,292.25,292.55,292.25,298.20,28,82,24268.00,
532812,TRANSWARRANT,T ,Q,2.25,2.25,2.25,2.25,2.25,2.25,3,1001,2252.00,
532813,C & C CONSTR,Z ,Q,4.80,5.00,4.60,4.60,4.60,4.79,8,1824,8940.00,
532814,INDIAN BANK ,A ,Q,113.00,116.55,113.00,115.35,115.35,113.90,1581,97743,11276667.00,
532815,SMS PHARMACE,B ,Q,136.00,141.70,136.00,140.05,141.00,134.40,400,18135,2532808.00,
532817,ORIENTAL    ,B ,Q,6.05,6.49,5.81,6.21,6.20,6.00,72,9268,56392.00,
532819,MINDTREE LTD,A ,Q,2086.85,2182.40,2086.85,2173.50,2173.00,2086.85,2138,40143,86082278.00,
532820,ELAND       ,X ,Q,4.12,4.37,4.12,4.37,4.37,4.21,15,5718,24726.00,
532822,IDEA        ,A ,Q,9.87,9.98,9.70,9.77,9.77,9.66,54407,37073532,363271284.00,
532823,EURO CERAMIC,Z ,Q,1.06,1.06,1.06,1.06,1.06,1.05,1,1000,1060.00,
532825,JAGJANANI   ,X ,Q,0.55,0.56,0.55,0.55,0.55,0.55,8,695,387.00,
532826,RAJ TELE    ,B ,Q,32.80,35.30,29.25,32.15,32.40,32.80,26,1013,32188.00,
532827,PAGE INDUSTR,A ,Q,29367.85,29957.90,29363.95,29838.90,29755.90,29514.35,457,973,28854748.00,
532828,AMD INDUS   ,T ,Q,17.40,18.20,17.40,17.75,17.75,18.25,12,2159,38065.00,
532829,LEHAR       ,XT,Q,27.25,28.25,25.75,28.15,28.20,26.95,120,29970,830182.00,
532830,ASTRAL POLY ,A ,Q,1572.90,1608.40,1549.45,1580.85,1580.00,1556.80,3068,22708,35887871.00,
532832,INDBUL REAL ,A ,Q,81.80,87.00,81.80,84.55,84.55,81.45,6114,1723162,145451373.00,
532834,CAMLINFINE  ,A ,Q,140.90,140.90,138.00,139.05,139.10,137.85,402,29500,4095895.00,
532835,ICRA        ,A ,Q,3216.95,3670.75,3209.10,3567.20,3550.00,3162.75,1598,5603,19897720.00,
532839,DISH TV     ,A ,Q,10.25,10.47,10.09,10.22,10.22,10.03,1460,517288,5291643.00,
532841,SAHYA INDU  ,X ,Q,303.40,303.40,290.00,298.60,299.00,292.90,206,7833,2343126.00,
532842,SREE RAYALA ,B ,Q,248.85,256.00,248.20,252.20,253.00,244.75,201,2978,751944.00,
532843,FORTIS      ,A ,Q,217.30,219.50,212.45,213.50,213.50,215.10,1700,103569,22332247.00,
532845,TGBHOTELS   ,B ,Q,4.39,4.56,4.34,4.56,4.56,4.51,26,1996,8936.00,
532847,HILTON MET  ,B ,Q,9.50,9.71,9.50,9.71,9.71,9.25,2,245,2369.00,
532848,DELTA CORP  ,A ,Q,160.00,160.80,157.10,157.75,157.10,157.75,1493,169755,27039871.00,
532850,MIC ELECTRON,T ,Q,0.67,0.73,0.67,0.72,0.73,0.70,32,62200,44911.00,
532851,INSECTCID   ,A ,Q,470.00,474.00,454.90,465.75,465.75,465.90,441,9225,4294654.00,
532852,MCD HOLDING ,B ,Q,40.50,41.00,38.20,39.95,40.00,41.70,41,1779,71340.00,
532853,ASAHI SONG  ,B ,Q,315.05,323.75,311.00,318.05,318.00,318.35,79,1249,394414.00,
532854,NITIN FIRE  ,Z ,Q,0.58,0.63,0.58,0.60,0.60,0.60,21,64188,38060.00,
532856,TIME TECHNO ,A ,Q,69.75,70.00,67.30,67.70,67.60,69.00,720,118504,8115019.00,
532859,HGSL        ,A ,Q,1759.15,1879.85,1759.15,1811.75,1811.75,1792.10,809,4540,8274223.00,
532864,NELCAST     ,B ,Q,63.60,64.55,62.00,64.10,64.40,62.70,151,10755,688088.00,
532865,MEGHMANI    ,A ,Q,130.00,138.40,130.00,133.55,133.55,127.75,5140,522002,70026997.00,
532867,V2RETAIL    ,B ,Q,131.95,138.05,130.00,133.40,134.00,131.50,132,6945,940204.00,
532868,DLF LIMITED ,A ,Q,281.40,285.50,278.85,282.95,282.95,278.85,4473,456155,128937660.00,
532869,TARMAT      ,B ,Q,50.10,50.95,48.70,50.70,50.70,48.50,237,10171,505527.00,
532870,ANKIT METAL ,B ,Q,0.99,1.00,0.95,0.97,0.97,1.00,38,33001,31438.00,
532872,SUNPHA ADV  ,A ,Q,162.50,166.60,160.90,164.45,164.45,161.75,1017,47857,7889994.00,
532873,HOUSING DEV ,Z ,Q,5.15,5.30,5.06,5.12,5.15,5.27,189,72571,376028.00,
532874,SURYACHAKRA ,Z ,Q,0.43,0.44,0.41,0.41,0.41,0.43,24,29247,12228.00,
532875,ALLIED DIGIT,B ,Q,45.50,47.50,44.30,47.50,47.50,45.25,334,68044,3164101.00,
532878,ALPA LAB    ,B ,Q,37.95,41.25,37.50,41.25,41.25,37.50,629,52222,2104510.00,
532879,SIR SHADI LA,X ,Q,33.00,36.00,33.00,33.95,33.95,34.20,9,1000,34820.00,
532880,OMAXE LTD   ,A ,Q,67.30,69.00,66.00,67.65,67.80,67.55,83,2371,161102.00,
532884,REFEX       ,B ,Q,95.00,95.00,91.80,92.00,92.00,93.00,192,8348,776537.00,
532885,CENTRAL BK  ,A ,Q,16.30,17.05,16.15,16.65,16.65,16.35,3396,1817778,30458212.00,
532887,NTL         ,B ,Q,0.88,0.88,0.88,0.88,0.88,0.89,4,4190,3687.00,
532888,ASIAN GRANIT,A ,Q,173.95,173.95,166.45,167.65,167.80,172.00,652,34270,5771281.00,
532889,K.P.R. MILL ,A ,Q,1069.80,1084.35,1063.40,1071.65,1071.90,1068.70,224,616,659569.00,
532890,TAKE SOLUT  ,A ,Q,51.00,53.65,51.00,52.20,52.15,51.05,1418,208026,10874315.00,
532891,PURAVANKARA ,B ,Q,74.00,75.25,73.40,73.70,73.50,73.85,66,954,70653.00,
532892,MOTILALOFS  ,A ,Q,633.00,648.70,631.00,639.60,631.00,632.95,271,3062,1964158.00,
532893,VTM LTD     ,X ,Q,23.40,23.50,23.35,23.40,23.40,23.40,17,2434,56970.00,
532894,IWIND ENERGY,T ,Q,3.99,3.99,3.71,3.82,3.82,3.82,28,6925,26330.00,
532895,NAGREKA CAP ,B ,Q,5.49,5.49,5.49,5.49,5.49,5.77,5,448,2459.00,
532896,MAGNUM VENT ,T ,Q,4.75,4.90,4.75,4.80,4.80,4.99,15,7983,38016.00,
532898,POWER GRID  ,A ,Q,211.00,216.15,209.55,210.80,210.80,209.25,5672,562034,119664219.00,
532899,KAVERI SEED ,A ,Q,530.00,550.00,528.25,539.85,536.70,528.25,1159,25493,13832319.00,
532900,PAISALO     ,A ,Q,764.35,774.00,748.15,752.50,752.60,757.40,137,611,464778.00,
532906,MAANALU     ,B ,Q,152.00,156.10,143.25,153.25,153.25,151.45,142,4069,609938.00,
532907,ILFSENGG    ,Z ,Q,3.06,3.25,3.06,3.25,3.25,3.10,11,1306,4133.00,
532911,PARLEIND    ,X ,Q,9.15,9.24,9.02,9.13,9.14,9.07,534,84491,769252.00,
532915,RELIGARE ENT,A ,Q,98.40,110.45,97.55,109.00,109.00,98.30,2055,203410,21581848.00,
